a,r,b
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 14', 'output': '6', 'explanation': 'Step 1) 14 is even; divide by 2 and obtain 7. \nStep 2) 7 is odd; subtract 1 and obtain 6.\nStep 3) 6 is even; divide by 2 and obtain 3. \nStep 4) 3 is odd; subtract 1 and obtain 2. \nStep 5) 2 is even; divide by 2 and obtain 1. \nStep 6) 1 is odd; subtract 1 and obtain 0.'}, {'id': 2, 'input': 'num = 8', 'output': '4', 'explanation': 'Step 1) 8 is even; divide by 2 and obtain 4. \nStep 2) 4 is even; divide by 2 and obtain 2. \nStep 3) 2 is even; divide by 2 and obtain 1. \nStep 4) 1 is odd; subtract 1 and obtain 0.'}, {'id': 3, 'input': 'num = 123', 'output': '12', 'explanation': None}], topics: [Recursion], problem_statement: Given an integer num, return the number of steps to reduce it to zero.

In one step, if the current number is even, you have to divide it by 2, otherwise, you have to subtract 1 from it., title: Number of Steps to Reduce a Number to Zero, constraints: [0 <= num <= 10^6]})",[:HAS_DIFFICULTY],(:Difficulty {level: Easy})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 14', 'output': '6', 'explanation': 'Step 1) 14 is even; divide by 2 and obtain 7. \nStep 2) 7 is odd; subtract 1 and obtain 6.\nStep 3) 6 is even; divide by 2 and obtain 3. \nStep 4) 3 is odd; subtract 1 and obtain 2. \nStep 5) 2 is even; divide by 2 and obtain 1. \nStep 6) 1 is odd; subtract 1 and obtain 0.'}, {'id': 2, 'input': 'num = 8', 'output': '4', 'explanation': 'Step 1) 8 is even; divide by 2 and obtain 4. \nStep 2) 4 is even; divide by 2 and obtain 2. \nStep 3) 2 is even; divide by 2 and obtain 1. \nStep 4) 1 is odd; subtract 1 and obtain 0.'}, {'id': 3, 'input': 'num = 123', 'output': '12', 'explanation': None}], topics: [Recursion], problem_statement: Given an integer num, return the number of steps to reduce it to zero.

In one step, if the current number is even, you have to divide it by 2, otherwise, you have to subtract 1 from it., title: Number of Steps to Reduce a Number to Zero, constraints: [0 <= num <= 10^6]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int numberOfSteps(int num) {
        int c = 0;
        while(num > 0)
        {
            if(num % 2 == 0)
            {
                num /= 2;
            }
            else
            {
                num -= 1;
            }
            c++;
        }
        return c;
    }
};, language: C++, approach: Iterative Simulation})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 14', 'output': '6', 'explanation': 'Step 1) 14 is even; divide by 2 and obtain 7. \nStep 2) 7 is odd; subtract 1 and obtain 6.\nStep 3) 6 is even; divide by 2 and obtain 3. \nStep 4) 3 is odd; subtract 1 and obtain 2. \nStep 5) 2 is even; divide by 2 and obtain 1. \nStep 6) 1 is odd; subtract 1 and obtain 0.'}, {'id': 2, 'input': 'num = 8', 'output': '4', 'explanation': 'Step 1) 8 is even; divide by 2 and obtain 4. \nStep 2) 4 is even; divide by 2 and obtain 2. \nStep 3) 2 is even; divide by 2 and obtain 1. \nStep 4) 1 is odd; subtract 1 and obtain 0.'}, {'id': 3, 'input': 'num = 123', 'output': '12', 'explanation': None}], topics: [Recursion], problem_statement: Given an integer num, return the number of steps to reduce it to zero.

In one step, if the current number is even, you have to divide it by 2, otherwise, you have to subtract 1 from it., title: Number of Steps to Reduce a Number to Zero, constraints: [0 <= num <= 10^6]})",[:SIMILAR_TOPIC {shared_topic: Recursion}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '1', 'explanation': 'F(2) = F(1) + F(0) = 1 + 0 = 1.'}, {'id': 2, 'input': 'n = 3', 'output': '2', 'explanation': 'F(3) = F(2) + F(1) = 1 + 1 = 2.'}, {'id': 3, 'input': 'n = 4', 'output': '3', 'explanation': 'F(4) = F(3) + F(2) = 2 + 1 = 3.'}], topics: [Recursion], problem_statement: The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,
F(0) = 0, F(1) = 1
F(n) = F(n - 1) + F(n - 2), for n > 1.
Given n, calculate F(n)., title: Fibonacci Number, constraints: [0 <= n <= 30]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 14', 'output': '6', 'explanation': 'Step 1) 14 is even; divide by 2 and obtain 7. \nStep 2) 7 is odd; subtract 1 and obtain 6.\nStep 3) 6 is even; divide by 2 and obtain 3. \nStep 4) 3 is odd; subtract 1 and obtain 2. \nStep 5) 2 is even; divide by 2 and obtain 1. \nStep 6) 1 is odd; subtract 1 and obtain 0.'}, {'id': 2, 'input': 'num = 8', 'output': '4', 'explanation': 'Step 1) 8 is even; divide by 2 and obtain 4. \nStep 2) 4 is even; divide by 2 and obtain 2. \nStep 3) 2 is even; divide by 2 and obtain 1. \nStep 4) 1 is odd; subtract 1 and obtain 0.'}, {'id': 3, 'input': 'num = 123', 'output': '12', 'explanation': None}], topics: [Recursion], problem_statement: Given an integer num, return the number of steps to reduce it to zero.

In one step, if the current number is even, you have to divide it by 2, otherwise, you have to subtract 1 from it., title: Number of Steps to Reduce a Number to Zero, constraints: [0 <= num <= 10^6]})",[:SIMILAR_TOPIC {shared_topic: Recursion}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 's = [""h"",""e"",""l"",""l"",""o""]', 'output': '[""o"",""l"",""l"",""e"",""h""]', 'explanation': None}, {'id': 2, 'input': 's = [""H"",""a"",""n"",""n"",""a"",""h""]', 'output': '[""h"",""a"",""n"",""n"",""a"",""H""]', 'explanation': None}], topics: [Recursion], problem_statement: Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory., title: Reverse String, constraints: [1 <= s.length <= 10^5, s[i] is a printable ascii character.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 's = [""h"",""e"",""l"",""l"",""o""]', 'output': '[""o"",""l"",""l"",""e"",""h""]', 'explanation': None}, {'id': 2, 'input': 's = [""H"",""a"",""n"",""n"",""a"",""h""]', 'output': '[""h"",""a"",""n"",""n"",""a"",""H""]', 'explanation': None}], topics: [Recursion], problem_statement: Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory., title: Reverse String, constraints: [1 <= s.length <= 10^5, s[i] is a printable ascii character.]})",[:BELONGS_TO_TOPIC],(:Topic {name: Recursion})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 's = [""h"",""e"",""l"",""l"",""o""]', 'output': '[""o"",""l"",""l"",""e"",""h""]', 'explanation': None}, {'id': 2, 'input': 's = [""H"",""a"",""n"",""n"",""a"",""h""]', 'output': '[""h"",""a"",""n"",""n"",""a"",""H""]', 'explanation': None}], topics: [Recursion], problem_statement: Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory., title: Reverse String, constraints: [1 <= s.length <= 10^5, s[i] is a printable ascii character.]})",[:HAS_DIFFICULTY],(:Difficulty {level: Easy})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 's = [""h"",""e"",""l"",""l"",""o""]', 'output': '[""o"",""l"",""l"",""e"",""h""]', 'explanation': None}, {'id': 2, 'input': 's = [""H"",""a"",""n"",""n"",""a"",""h""]', 'output': '[""h"",""a"",""n"",""n"",""a"",""H""]', 'explanation': None}], topics: [Recursion], problem_statement: Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory., title: Reverse String, constraints: [1 <= s.length <= 10^5, s[i] is a printable ascii character.]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    void reverseString(vector<char>& s) {
        int start = 0, end = s.size() - 1;
        while(start < end)
        {
            swap(s[start], s[end]);
            start++;
            end--;
        }
    }
};, language: C++, approach: Two-Pointer Swap (In-place)})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 's = [""h"",""e"",""l"",""l"",""o""]', 'output': '[""o"",""l"",""l"",""e"",""h""]', 'explanation': None}, {'id': 2, 'input': 's = [""H"",""a"",""n"",""n"",""a"",""h""]', 'output': '[""h"",""a"",""n"",""n"",""a"",""H""]', 'explanation': None}], topics: [Recursion], problem_statement: Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory., title: Reverse String, constraints: [1 <= s.length <= 10^5, s[i] is a printable ascii character.]})",[:SIMILAR_TOPIC {shared_topic: Recursion}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '1', 'explanation': 'F(2) = F(1) + F(0) = 1 + 0 = 1.'}, {'id': 2, 'input': 'n = 3', 'output': '2', 'explanation': 'F(3) = F(2) + F(1) = 1 + 1 = 2.'}, {'id': 3, 'input': 'n = 4', 'output': '3', 'explanation': 'F(4) = F(3) + F(2) = 2 + 1 = 3.'}], topics: [Recursion], problem_statement: The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,
F(0) = 0, F(1) = 1
F(n) = F(n - 1) + F(n - 2), for n > 1.
Given n, calculate F(n)., title: Fibonacci Number, constraints: [0 <= n <= 30]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 's = [""h"",""e"",""l"",""l"",""o""]', 'output': '[""o"",""l"",""l"",""e"",""h""]', 'explanation': None}, {'id': 2, 'input': 's = [""H"",""a"",""n"",""n"",""a"",""h""]', 'output': '[""h"",""a"",""n"",""n"",""a"",""H""]', 'explanation': None}], topics: [Recursion], problem_statement: Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory., title: Reverse String, constraints: [1 <= s.length <= 10^5, s[i] is a printable ascii character.]})",[:SIMILAR_TOPIC {shared_topic: Recursion}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 14', 'output': '6', 'explanation': 'Step 1) 14 is even; divide by 2 and obtain 7. \nStep 2) 7 is odd; subtract 1 and obtain 6.\nStep 3) 6 is even; divide by 2 and obtain 3. \nStep 4) 3 is odd; subtract 1 and obtain 2. \nStep 5) 2 is even; divide by 2 and obtain 1. \nStep 6) 1 is odd; subtract 1 and obtain 0.'}, {'id': 2, 'input': 'num = 8', 'output': '4', 'explanation': 'Step 1) 8 is even; divide by 2 and obtain 4. \nStep 2) 4 is even; divide by 2 and obtain 2. \nStep 3) 2 is even; divide by 2 and obtain 1. \nStep 4) 1 is odd; subtract 1 and obtain 0.'}, {'id': 3, 'input': 'num = 123', 'output': '12', 'explanation': None}], topics: [Recursion], problem_statement: Given an integer num, return the number of steps to reduce it to zero.

In one step, if the current number is even, you have to divide it by 2, otherwise, you have to subtract 1 from it., title: Number of Steps to Reduce a Number to Zero, constraints: [0 <= num <= 10^6]})"
"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'nums = [1,2,3,3,4,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,5] --> 1, 2, 3\n[1,2,3,3,4,5] --> 3, 4, 5'}, {'id': 2, 'input': 'nums = [1,2,3,3,4,4,5,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,4,5,5] --> 1, 2, 3, 4, 5\n[1,2,3,3,4,4,5,5] --> 3, 4, 5'}, {'id': 3, 'input': 'nums = [1,2,3,4,4,5]', 'output': 'false', 'explanation': 'It is impossible to split nums into consecutive increasing subsequences of length 3 or more.'}], topics: [Array], problem_statement: You are given an integer array nums that is sorted in non-decreasing order.

Determine if it is possible to split nums into one or more subsequences such that both of the following conditions are true:
- Each subsequence is a consecutive increasing sequence (i.e. each integer is exactly one more than the previous integer).
- All subsequences have a length of 3 or more.

Return true if you can split nums according to the above conditions, or false otherwise.

A subsequence of an array is a new array that is formed from the original array by deleting some (can be none) of the elements without disturbing the relative positions of the remaining elements. (i.e., [1,3,5] is a subsequence of [1,2,3,4,5] while [1,3,2] is not)., title: Split Array into Consecutive Subsequences, constraints: [1 <= nums.length <= 10^4, -1000 <= nums[i] <= 1000, nums is sorted in non-decreasing order.]})",[:BELONGS_TO_TOPIC],(:Topic {name: Array})
"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'nums = [1,2,3,3,4,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,5] --> 1, 2, 3\n[1,2,3,3,4,5] --> 3, 4, 5'}, {'id': 2, 'input': 'nums = [1,2,3,3,4,4,5,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,4,5,5] --> 1, 2, 3, 4, 5\n[1,2,3,3,4,4,5,5] --> 3, 4, 5'}, {'id': 3, 'input': 'nums = [1,2,3,4,4,5]', 'output': 'false', 'explanation': 'It is impossible to split nums into consecutive increasing subsequences of length 3 or more.'}], topics: [Array], problem_statement: You are given an integer array nums that is sorted in non-decreasing order.

Determine if it is possible to split nums into one or more subsequences such that both of the following conditions are true:
- Each subsequence is a consecutive increasing sequence (i.e. each integer is exactly one more than the previous integer).
- All subsequences have a length of 3 or more.

Return true if you can split nums according to the above conditions, or false otherwise.

A subsequence of an array is a new array that is formed from the original array by deleting some (can be none) of the elements without disturbing the relative positions of the remaining elements. (i.e., [1,3,5] is a subsequence of [1,2,3,4,5] while [1,3,2] is not)., title: Split Array into Consecutive Subsequences, constraints: [1 <= nums.length <= 10^4, -1000 <= nums[i] <= 1000, nums is sorted in non-decreasing order.]})",[:HAS_DIFFICULTY],(:Difficulty {level: Medium})
"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'nums = [1,2,3,3,4,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,5] --> 1, 2, 3\n[1,2,3,3,4,5] --> 3, 4, 5'}, {'id': 2, 'input': 'nums = [1,2,3,3,4,4,5,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,4,5,5] --> 1, 2, 3, 4, 5\n[1,2,3,3,4,4,5,5] --> 3, 4, 5'}, {'id': 3, 'input': 'nums = [1,2,3,4,4,5]', 'output': 'false', 'explanation': 'It is impossible to split nums into consecutive increasing subsequences of length 3 or more.'}], topics: [Array], problem_statement: You are given an integer array nums that is sorted in non-decreasing order.

Determine if it is possible to split nums into one or more subsequences such that both of the following conditions are true:
- Each subsequence is a consecutive increasing sequence (i.e. each integer is exactly one more than the previous integer).
- All subsequences have a length of 3 or more.

Return true if you can split nums according to the above conditions, or false otherwise.

A subsequence of an array is a new array that is formed from the original array by deleting some (can be none) of the elements without disturbing the relative positions of the remaining elements. (i.e., [1,3,5] is a subsequence of [1,2,3,4,5] while [1,3,2] is not)., title: Split Array into Consecutive Subsequences, constraints: [1 <= nums.length <= 10^4, -1000 <= nums[i] <= 1000, nums is sorted in non-decreasing order.]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    bool isPossible(vector<int>& v) {
        unordered_map<int, int> mp1, mp2;
        for(auto x: v)
            mp1[x]++;
        
        for(auto x: v){
            if(mp1[x] == 0)  continue;
            mp1[x]--;
            
            if(mp2[x-1] > 0){
                mp2[x-1]--;
                mp2[x]++;
            }
            else if(mp1[x+1] > 0 and mp1[x+2] > 0){
                mp1[x+1]--;
                mp1[x+2]--;
                mp2[x+2]++;
            }
            else
                return false;
        }
        return true;
    }
};, language: C++, approach: Greedy with Hash Maps})"
